Dataset,Filename,Location,Meter_#,Orientation,Transect_#,Depth (ft),coca_cover,stpu_cover,mefr_cover,Point,Focal,Neighbor.1,Neighbor.2,Neighbor.3,Neighbor.4,Neighbor.Extra,Already counted?,Comments
Naples_(13/Jan/2015),IMG_0182.CR2,Naples,1,horizontal,2,28,,,,no,corynactis,wasu,hbc,hbc,rh,N/A,no,
Naples_(13/Jan/2015),IMG_0182.CR2,Naples,1,horizontal,2,28,,,,no,corynactis,hbc,hbc,hbc,enco,N/A,no,
Naples_(13/Jan/2015),IMG_0182.CR2,Naples,1,horizontal,2,28,,,,no,corynactis,hbc,enco,retu,coca,N/A,no,
Naples_(13/Jan/2015),IMG_0182.CR2,Naples,1,horizontal,2,28,,,,no,corynactis,coca,coca,hbc,hbc,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0182.CR2,Naples,1,horizontal,2,28,,,,no,corynactis,coca,enco,rh,cbb,N/A,no,
Naples_(13/Jan/2015),IMG_0182.CR2,Naples,1,horizontal,2,28,,,,no,corynactis,coca,coca,retu,hbc,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0182.CR2,Naples,1,horizontal,2,28,,,,no,corynactis,coca,coca,hbc,retu,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0182.CR2,Naples,1,horizontal,2,28,,,,no,corynactis,coca,coca,hbc,hbc,N/A,neighbor 1 and 2,
Naples_(13/Jan/2015),IMG_0182.CR2,Naples,1,horizontal,2,28,,,,no,corynactis,cbb,hbc,hbc,N/A,N/A,no,
Naples_(13/Jan/2015),IMG_0213.CR2,Naples,7,vertical,3,32,15,0,6,no,corynactis,asha,rh,asha,pos,N/A,no,
Naples_(13/Jan/2015),IMG_0213.CR2,Naples,7,vertical,3,32,,,,no,corynactis,wasu,peb,atc,clsp,N/A,no,
Naples_(13/Jan/2015),IMG_0213.CR2,Naples,7,vertical,3,32,,,,no,corynactis,coca,dica,asha,past,N/A,no,
Naples_(13/Jan/2015),IMG_0213.CR2,Naples,7,vertical,3,32,,,,no,corynactis,asha,hbc,asha,asha,N/A,no,
Naples_(13/Jan/2015),IMG_0213.CR2,Naples,7,vertical,3,32,,,,no,corynactis,rh,pos,atc,N/A,N/A,no,
Naples_(13/Jan/2015),IMG_0213.CR2,Naples,7,vertical,3,32,,,,no,corynactis,rh,hbc,hbc,agla,N/A,no,
Naples_(13/Jan/2015),IMG_0213.CR2,Naples,7,vertical,3,32,,,,no,corynactis,atc,coca,retu,hbc,N/A,no,
Naples_(13/Jan/2015),IMG_0213.CR2,Naples,7,vertical,3,32,,,,no,corynactis,asha,asha,hbc,clsp,N/A,no,
Naples_(13/Jan/2015),IMG_0213.CR2,Naples,7,vertical,3,32,,,,no,corynactis,hbc,asha,hbc,clsp,N/A,no,
Naples_(13/Jan/2015),IMG_0213.CR2,Naples,7,vertical,3,32,,,,no,corynactis,coca,atc,hbc,bune,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0213.CR2,Naples,7,vertical,3,32,,,,no,corynactis,coca,coca,trsp,oes,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0213.CR2,Naples,7,vertical,3,32,,,,no,corynactis,coca,asha,pl,bdt,N/A,no,
Naples_(13/Jan/2015),IMG_0213.CR2,Naples,7,vertical,3,32,,,,no,corynactis,atc,atc,N/A,N/A,N/A,no,
Naples_(13/Jan/2015),IMG_0213.CR2,Naples,7,vertical,3,32,,,,no,corynactis,coca,dica,oes,bdt,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0213.CR2,Naples,7,vertical,3,32,,,,no,corynactis,coca,asha,hbc,enco,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0213.CR2,Naples,7,vertical,3,32,,,,no,mesocentrotus,mefr,mefr,mefr,clsp,N/A,no,
Naples_(13/Jan/2015),IMG_0213.CR2,Naples,7,vertical,3,32,,,,no,mesocentrotus,mefr,mefr,hbc,atc,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0213.CR2,Naples,7,vertical,3,32,,,,no,mesocentrotus,mefr,mefr,seb,N/A,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0213.CR2,Naples,7,vertical,3,32,,,,no,mesocentrotus,mefr,mefr,mefr,N/A,N/A,neighbor 1 and 2,
Naples_(13/Jan/2015),IMG_0213.CR2,Naples,7,vertical,3,32,,,,no,mesocentrotus,mefr,mefr,bael,N/A,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0213.CR2,Naples,7,vertical,3,32,,,,no,mesocentrotus,mefr,mefr,hbc,hbc,N/A,neighbor 1 and 2,
Naples_(13/Jan/2015),IMG_0141.CR2,Naples,9,horizontal,1,42,1,0,0,no,corynactis,rh,rh,cbb,sa,N/A,no,
Naples_(13/Jan/2015),IMG_0181.CR2,Naples,1,vertical,2,29,24,0,0,no,corynactis,retu,ob,pean,pl,N/A,no,
Naples_(13/Jan/2015),IMG_0181.CR2,Naples,1,vertical,2,29,,,,no,corynactis,coca,enco,coca,coca,N/A,no,
Naples_(13/Jan/2015),IMG_0181.CR2,Naples,1,vertical,2,29,,,,no,corynactis,coca,coca,peb,N/A,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0181.CR2,Naples,1,vertical,2,29,,,,no,corynactis,coca,coca,wasu,peb,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0181.CR2,Naples,1,vertical,2,29,,,,no,corynactis,coca,wasu,hbc,coca,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0181.CR2,Naples,1,vertical,2,29,,,,no,corynactis,coca,coca,wasu,pean,N/A,neighbor 1 and 2,
Naples_(13/Jan/2015),IMG_0181.CR2,Naples,1,vertical,2,29,,,,no,corynactis,coca,enco,N/A,N/A,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0181.CR2,Naples,1,vertical,2,29,,,,no,corynactis,coca,coca,dica,hbc,N/A,no,
Naples_(13/Jan/2015),IMG_0181.CR2,Naples,1,vertical,2,29,,,,no,corynactis,coca,coca,coca,coca,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0181.CR2,Naples,1,vertical,2,29,,,,no,corynactis,coca,coca,dili,dica,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0181.CR2,Naples,1,vertical,2,29,,,,no,corynactis,coca,hbc,coca,coca,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0181.CR2,Naples,1,vertical,2,29,,,,no,corynactis,coca,coca,wasu,coca,N/A,neighbor 1 and 2,
Naples_(13/Jan/2015),IMG_0181.CR2,Naples,1,vertical,2,29,,,,no,corynactis,coca,coca,coca,hbc,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0181.CR2,Naples,1,vertical,2,29,,,,no,corynactis,coca,coca,cbb,N/A,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0181.CR2,Naples,1,vertical,2,29,,,,no,corynactis,coca,coca,N/A,N/A,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0181.CR2,Naples,1,vertical,2,29,,,,no,corynactis,coca,coca,coca,coca,N/A,"neighbor 1, 2, and 3",
Naples_(13/Jan/2015),IMG_0181.CR2,Naples,1,vertical,2,29,,,,no,corynactis,coca,coca,coca,N/A,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0181.CR2,Naples,1,vertical,2,29,,,,no,corynactis,coca,coca,dili,baro,N/A,neighbor 1 and 2,
Naples_(13/Jan/2015),IMG_0181.CR2,Naples,1,vertical,2,29,,,,no,corynactis,coca,baro,N/A,N/A,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0181.CR2,Naples,1,vertical,2,29,,,,no,corynactis,hbc,coca,baro,coca,N/A,no,
Naples_(13/Jan/2015),IMG_0181.CR2,Naples,1,vertical,2,29,,,,no,corynactis,coca,wasu,clsp,enco,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0181.CR2,Naples,1,vertical,2,29,,,,no,corynactis,hbc,coca,cbb,cbb,N/A,no,
Naples_(13/Jan/2015),IMG_0181.CR2,Naples,1,vertical,2,29,,,,no,corynactis,coca,coca,coca,hbc,N/A,neighbor 1 and 2,
Naples_(13/Jan/2015),IMG_0181.CR2,Naples,1,vertical,2,29,,,,no,corynactis,coca,coca,coca,hbc,N/A,"neighbor 1, 2, and 3",
Naples_(13/Jan/2015),IMG_0186.CR2,Naples,3,horizontal,2,28,34,0,0,no,corynactis,coca,coca,rh,rh,N/A,no,
Naples_(13/Jan/2015),IMG_0186.CR2,Naples,3,horizontal,2,28,,,,no,corynactis,coca,coca,coca,coca,N/A,no,
Naples_(13/Jan/2015),IMG_0186.CR2,Naples,3,horizontal,2,28,,,,no,corynactis,coca,coca,coca,rh,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0186.CR2,Naples,3,horizontal,2,28,,,,no,corynactis,coca,coca,rh,rh,N/A,no,
Naples_(13/Jan/2015),IMG_0186.CR2,Naples,3,horizontal,2,28,,,,no,corynactis,wasu,retu,coca,retu,N/A,no,
Naples_(13/Jan/2015),IMG_0186.CR2,Naples,3,horizontal,2,28,,,,no,corynactis,rh,coca,coca,N/A,N/A,no,
Naples_(13/Jan/2015),IMG_0186.CR2,Naples,3,horizontal,2,28,,,,no,corynactis,coca,coca,coca,coca,N/A,no,
Naples_(13/Jan/2015),IMG_0186.CR2,Naples,3,horizontal,2,28,,,,no,corynactis,coca,coca,coca,N/A,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0186.CR2,Naples,3,horizontal,2,28,,,,no,corynactis,coca,hbc,ceb,N/A,N/A,no,
Naples_(13/Jan/2015),IMG_0186.CR2,Naples,3,horizontal,2,28,,,,no,corynactis,coca,coca,coca,N/A,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0186.CR2,Naples,3,horizontal,2,28,,,,no,corynactis,rh,rh,wasu,sa,N/A,no,
Naples_(13/Jan/2015),IMG_0186.CR2,Naples,3,horizontal,2,28,,,,no,corynactis,rh,baro,rh,cbb,N/A,no,
Naples_(13/Jan/2015),IMG_0186.CR2,Naples,3,horizontal,2,28,,,,no,corynactis,cbb,baro,oxpi,N/A,N/A,no,
Naples_(13/Jan/2015),IMG_0186.CR2,Naples,3,horizontal,2,28,,,,no,corynactis,coca,coca,coca,N/A,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0186.CR2,Naples,3,horizontal,2,28,,,,no,corynactis,coca,wasu,sa,coca,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0186.CR2,Naples,3,horizontal,2,28,,,,no,corynactis,coca,coca,coca,cbb,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0186.CR2,Naples,3,horizontal,2,28,,,,no,corynactis,coca,coca,coca,rh,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0186.CR2,Naples,3,horizontal,2,28,,,,no,corynactis,coca,mecr,rh,coca,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0186.CR2,Naples,3,horizontal,2,28,,,,no,corynactis,coca,enco,retu,mecr,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0186.CR2,Naples,3,horizontal,2,28,,,,no,corynactis,coca,coca,coca,coca,N/A,neighbor 1 and 2,
Naples_(13/Jan/2015),IMG_0186.CR2,Naples,3,horizontal,2,28,,,,no,corynactis,coca,coca,wasu,rh,N/A,neighbor 1 and 2,
Naples_(13/Jan/2015),IMG_0186.CR2,Naples,3,horizontal,2,28,,,,no,corynactis,coca,wasu,coca,coca,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0186.CR2,Naples,3,horizontal,2,28,,,,no,corynactis,coca,coca,coca,coca,N/A,"neighbor 1, 2, and 3",
Naples_(13/Jan/2015),IMG_0186.CR2,Naples,3,horizontal,2,28,,,,no,corynactis,coca,coca,coca,mapy,N/A,"neighbor 1, 2, and 3",
Naples_(13/Jan/2015),IMG_0186.CR2,Naples,3,horizontal,2,28,,,,no,corynactis,coca,coca,rh,hbc,N/A,neighbor 1 and 2,
Naples_(13/Jan/2015),IMG_0186.CR2,Naples,3,horizontal,2,28,,,,no,corynactis,coca,sa,oxpi,N/A,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0186.CR2,Naples,3,horizontal,2,28,,,,no,corynactis,coca,coca,coca,rh,N/A,"neighbor 1, 2, and 3",
Naples_(13/Jan/2015),IMG_0186.CR2,Naples,3,horizontal,2,28,,,,no,corynactis,coca,coca,coca,enco,N/A,neighbor 1 and 2,
Naples_(13/Jan/2015),IMG_0186.CR2,Naples,3,horizontal,2,28,,,,no,corynactis,coca,coca,coca,coca,N/A,"neighbor 1, 2, and 3",
Naples_(13/Jan/2015),IMG_0186.CR2,Naples,3,horizontal,2,28,,,,no,corynactis,coca,coca,coca,rh,N/A,"neighbor 1, 2, and 3",
Naples_(13/Jan/2015),IMG_0186.CR2,Naples,3,horizontal,2,28,,,,no,corynactis,rh,rh,rh,lapa,N/A,no,
Naples_(13/Jan/2015),IMG_0186.CR2,Naples,3,horizontal,2,28,,,,no,corynactis,coca,coca,coca,N/A,N/A,neighbor 1 and 2,
Naples_(13/Jan/2015),IMG_0186.CR2,Naples,3,horizontal,2,28,,,,no,corynactis,coca,coca,mapy,N/A,N/A,neighbor 1 and 2,
Naples_(13/Jan/2015),IMG_0188.CR2,Naples,4,horizontal,2,31,3,0,0,no,corynactis,cbb,rh,hbc,hbc,N/A,no,
Naples_(13/Jan/2015),IMG_0188.CR2,Naples,4,horizontal,2,31,,,,no,corynactis,wasu,rh,rh,coca,N/A,no,
Naples_(13/Jan/2015),IMG_0188.CR2,Naples,4,horizontal,2,31,,,,no,corynactis,coca,rh,enco,baro,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0141.CR2,Naples,9,horizontal,1,42,1,0,0,no,corynactis,rh,rh,sa,cbb,N/A,no,
Naples_(13/Jan/2015),IMG_0200.CR2,Naples,0,vertical,3,34,24,0,0,no,corynactis,ob,hbc,ob,coca,N/A,no,
Naples_(13/Jan/2015),IMG_0200.CR2,Naples,0,vertical,3,34,,,,no,corynactis,coca,coca,asha,hbc,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0200.CR2,Naples,0,vertical,3,34,,,,no,corynactis,coca,ob,coca,hbc,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0200.CR2,Naples,0,vertical,3,34,,,,no,corynactis,coca,coca,coca,coca,N/A,no,
Naples_(13/Jan/2015),IMG_0200.CR2,Naples,0,vertical,3,34,,,,no,corynactis,coca,asha,enco,hbc,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0200.CR2,Naples,0,vertical,3,34,,,,no,corynactis,coca,coca,coca,coca,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0200.CR2,Naples,0,vertical,3,34,,,,no,corynactis,coca,coca,hbc,hbc,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0200.CR2,Naples,0,vertical,3,34,,,,no,corynactis,coca,csau,N/A,N/A,N/A,no,
Naples_(13/Jan/2015),IMG_0200.CR2,Naples,0,vertical,3,34,,,,no,corynactis,coca,enco,hbc,N/A,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0200.CR2,Naples,0,vertical,3,34,,,,no,corynactis,hbc,coca,coca,pbs,N/A,no,
Naples_(13/Jan/2015),IMG_0200.CR2,Naples,0,vertical,3,34,,,,no,corynactis,rh,coca,hbc,coca,N/A,no,
Naples_(13/Jan/2015),IMG_0200.CR2,Naples,0,vertical,3,34,,,,no,corynactis,coca,coca,ob,hbc,N/A,neighbor 1 and 2,
Naples_(13/Jan/2015),IMG_0200.CR2,Naples,0,vertical,3,34,,,,no,corynactis,coca,hbc,coca,hbc,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0200.CR2,Naples,0,vertical,3,34,,,,no,corynactis,hbc,coca,hbc,N/A,N/A,no,
Naples_(13/Jan/2015),IMG_0200.CR2,Naples,0,vertical,3,34,,,,no,corynactis,peb,rh,coca,hbc,N/A,no,
Naples_(13/Jan/2015),IMG_0200.CR2,Naples,0,vertical,3,34,,,,no,corynactis,coca,hbc,hbc,tpsu,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0200.CR2,Naples,0,vertical,3,34,,,,no,corynactis,coca,coca,hbc,ureq,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0200.CR2,Naples,0,vertical,3,34,,,,no,corynactis,coca,coca,hbc,hbc,N/A,neighbor 1 and 2,
Naples_(13/Jan/2015),IMG_0200.CR2,Naples,0,vertical,3,34,,,,no,corynactis,uteq,rh,peb,N/A,N/A,no,
Naples_(13/Jan/2015),IMG_0200.CR2,Naples,0,vertical,3,34,,,,no,corynactis,coca,coca,pbs,rh,N/A,neighbor 1 and 2,
Naples_(13/Jan/2015),IMG_0200.CR2,Naples,0,vertical,3,34,,,,no,corynactis,asha,rh,enco,N/A,N/A,no,
Naples_(13/Jan/2015),IMG_0200.CR2,Naples,0,vertical,3,34,,,,no,corynactis,coca,hbc,hbc,hbc,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0200.CR2,Naples,0,vertical,3,34,,,,no,corynactis,coca,coca,hbc,hbc,N/A,neighbor 1 and 2,
Naples_(13/Jan/2015),IMG_0200.CR2,Naples,0,vertical,3,34,,,,no,corynactis,coca,coca,hbc,asha,N/A,neighbor 1 and 2,
Naples_(13/Jan/2015),IMG_0202.CR2,Naples,1,vertical,3,33,8,0,0,no,corynactis,rh,coca,hbc,N/A,N/A,no,
Naples_(13/Jan/2015),IMG_0202.CR2,Naples,1,vertical,3,33,,,,no,corynactis,coca,coca,hbc,hbc,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0202.CR2,Naples,1,vertical,3,33,,,,no,corynactis,hbc,cbb,peb,coca,N/A,no,
Naples_(13/Jan/2015),IMG_0202.CR2,Naples,1,vertical,3,33,,,,no,corynactis,coca,coca,hbc,peb,N/A,no,
Naples_(13/Jan/2015),IMG_0202.CR2,Naples,1,vertical,3,33,,,,no,corynactis,coca,enco,hbc,N/A,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0202.CR2,Naples,1,vertical,3,33,,,,no,corynactis,coca,enco,rh,rh,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0202.CR2,Naples,1,vertical,3,33,,,,no,corynactis,coca,enco,cbb,hbc,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0202.CR2,Naples,1,vertical,3,33,,,,no,corynactis,coca,rh,rh,pero,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0220.CR2,Naples,10,horizontal,3,30,4,0,0,no,corynactis,coca,baro,enco,reb,N/A,no,
Naples_(13/Jan/2015),IMG_0220.CR2,Naples,10,horizontal,3,30,,,,no,corynactis,coca,wasu,rh,rh,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0220.CR2,Naples,10,horizontal,3,30,,,,no,corynactis,cbb,rh,wasu,hbc,N/A,no,
Naples_(13/Jan/2015),IMG_0220.CR2,Naples,10,horizontal,3,30,,,,no,corynactis,retu,ureq,baro,rh,N/A,no,
Naples_(13/Jan/2015),IMG_0191.CR2,Naples,6,vertical,2,28,8,0,0,no,corynactis,coca,agla,N/A,N/A,N/A,no,
Naples_(13/Jan/2015),IMG_0191.CR2,Naples,6,vertical,2,28,,,,no,corynactis,wasu,cusa,coca,N/A,N/A,no,
Naples_(13/Jan/2015),IMG_0191.CR2,Naples,6,vertical,2,28,,,,no,corynactis,wasu,wasu,ureq,wasu,N/A,no,
Naples_(13/Jan/2015),IMG_0191.CR2,Naples,6,vertical,2,28,,,,no,corynactis,hbc,asha,hbc,flco,N/A,no,
Naples_(13/Jan/2015),IMG_0191.CR2,Naples,6,vertical,2,28,,,,no,corynactis,coca,hbc,flco,N/A,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0191.CR2,Naples,6,vertical,2,28,,,,no,corynactis,wasu,agla,pean,N/A,N/A,no,
Naples_(13/Jan/2015),IMG_0191.CR2,Naples,6,vertical,2,28,,,,no,corynactis,cusa,hbc,coca,flio,N/A,no,
Naples_(13/Jan/2015),IMG_0191.CR2,Naples,6,vertical,2,28,,,,no,corynactis,coca,coca,pean,N/A,N/A,neighbor 1 and 2,
Naples_(13/Jan/2015),IMG_0144.CR2,Naples,10,horizontal,1,42,6,0,0,no,corynactis,baro,hbc,hbc,bfb,N/A,no,
Naples_(13/Jan/2015),IMG_0144.CR2,Naples,10,horizontal,1,42,,,,no,corynactis,cbb,coca,hbc,N/A,N/A,no,
Naples_(13/Jan/2015),IMG_0144.CR2,Naples,10,horizontal,1,42,,,,no,corynactis,coca,coca,ureq,hbc,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0144.CR2,Naples,10,horizontal,1,42,,,,no,corynactis,coca,cbb,hbc,acer,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0144.CR2,Naples,10,horizontal,1,42,,,,no,corynactis,bfb,baro,csau,ahli,N/A,no,
Naples_(13/Jan/2015),IMG_0144.CR2,Naples,10,horizontal,1,42,,,,no,corynactis,bfb,csau,hbc,N/A,N/A,no,
Naples_(13/Jan/2015),IMG_0201.CR2,Naples,0,horizontal,3,36,3,0,0,no,corynactis,rh,rh,rh,rh,N/A,no,
Naples_(13/Jan/2015),IMG_0201.CR2,Naples,0,horizontal,3,36,,,,no,corynactis,asha,rh,asha,rh,N/A,no,
Naples_(13/Jan/2015),IMG_0201.CR2,Naples,0,horizontal,3,36,,,,no,corynactis,hbc,rh,rh,hbc,N/A,no,
Naples_(13/Jan/2015),IMG_0217.CR2,Naples,9,horizontal,3,33,5,0,0,no,corynactis,rh,rh,cbb,N/A,N/A,no,
Naples_(13/Jan/2015),IMG_0217.CR2,Naples,9,horizontal,3,33,,,,no,corynactis,enco,cbb,rh,hbc,N/A,no,
Naples_(13/Jan/2015),IMG_0217.CR2,Naples,9,horizontal,3,33,,,,no,corynactis,cbb,bael,enco,bodi,N/A,no,
Naples_(13/Jan/2015),IMG_0217.CR2,Naples,9,horizontal,3,33,,,,no,corynactis,enco,enco,cbb,enco,N/A,no,
Naples_(13/Jan/2015),IMG_0217.CR2,Naples,9,horizontal,3,33,,,,no,corynactis,wasu,rh,enco,N/A,N/A,no,
Naples_(13/Jan/2015),IMG_0122.CR2,Naples,1,horizontal,1,34,7,0,0,no,corynactis,enco,rh,enco,rh,N/A,no,
Naples_(13/Jan/2015),IMG_0122.CR2,Naples,1,horizontal,1,34,,,,no,corynactis,rh,coca,enco,N/A,N/A,no,
Naples_(13/Jan/2015),IMG_0122.CR2,Naples,1,horizontal,1,34,,,,no,corynactis,coca,hbc,coca,hbc,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0122.CR2,Naples,1,horizontal,1,34,,,,no,corynactis,coca,hbc,hbc,baro,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0122.CR2,Naples,1,horizontal,1,34,,,,no,corynactis,hbc,rh,rh,ureq,N/A,no,
Naples_(13/Jan/2015),IMG_0122.CR2,Naples,1,horizontal,1,34,,,,no,corynactis,enco,rh,enco,N/A,N/A,no,
Naples_(13/Jan/2015),IMG_0122.CR2,Naples,1,horizontal,1,34,,,,no,corynactis,hbc,enco,hbc,glla,N/A,no,
Naples_(13/Jan/2015),IMG_0184.CR2,Naples,2,horizontal,2,28,24,0,0,no,corynactis,coca,cbb,cbb,hbc,N/A,no,
Naples_(13/Jan/2015),IMG_0184.CR2,Naples,2,horizontal,2,28,,,,no,corynactis,coca,cbb,coca,coca,N/A,no,
Naples_(13/Jan/2015),IMG_0184.CR2,Naples,2,horizontal,2,28,,,,no,corynactis,coca,retu,cbb,retu,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0184.CR2,Naples,2,horizontal,2,28,,,,no,corynactis,cbb,coca,coca,N/A,N/A,no,
Naples_(13/Jan/2015),IMG_0184.CR2,Naples,2,horizontal,2,28,,,,no,corynactis,coca,cbb,retu,coca,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0184.CR2,Naples,2,horizontal,2,28,,,,no,corynactis,coca,coca,coca,ygeb,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0184.CR2,Naples,2,horizontal,2,28,,,,no,corynactis,hbc,ygeb,coca,coca,N/A,no,
Naples_(13/Jan/2015),IMG_0184.CR2,Naples,2,horizontal,2,28,,,,no,corynactis,coca,wasu,wasu,coca,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0184.CR2,Naples,2,horizontal,2,28,,,,no,corynactis,coca,coca,coca,hbc,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0184.CR2,Naples,2,horizontal,2,28,,,,no,corynactis,coca,coca,rh,rh,N/A,neighbor 1 and 2,
Naples_(13/Jan/2015),IMG_0184.CR2,Naples,2,horizontal,2,28,,,,no,corynactis,coca,rh,cusa,N/A,N/A,neighbor 1,
Naples_(13/Jan/2015),IMG_0184.CR2,Naples,2,horizontal,2,28,,,,no,corynactis,coca,coca,coca,hbc,N/A,no,
